,Emotion,Sentence
1414,Enjoyment,dù s đi nữa thì mày vẫn xinh . cố lên
224,Enjoyment,sài gòn vẫn có cách sống rất nhân văn .
1296,Disgust,đi ngoài đường trái phải còn không biết mà vẫn sống thì giỏi đấy nhỉ
1597,Enjoyment,thật vi diệu
345,Other,nuôi sao mà trông béo tốt thế kia :v chỉ bí quyết đi
175,Disgust,agribank thì bình quân bao nhiêu nhỉ . mấy cán bộ agri thấy hách lắm .
175,Enjoyment,ly hôn kiểu này thì không cần tới bước cuối cùng . chỉ cần tới bước tính xem trả lại tiền mừng là tao bỏ ngay ý định ly hôn luôn rồi ... kkkk
1654,Anger,"nhìn mặt đã thấy hãm , mọi người chửi bỏ mẹ con mẹ phụ huynh đi"
1533,Sadness,mày không được ăn đồ chua nhưng phòng toàn xoài chua :(
776,Disgust,per bày đặt ngày hôm qua đã từng đồ
1496,Enjoyment,sau khi bố xem video của con xong thì bố rút ra 1 điều . bố không chỉ chửi con lúc con cầm đũa mà bố sẽ chửi con cả ngày thân ái ... yêu con
680,Sadness,có đứa nào hồi bé không biết nấu còn tranh làm rồi quên không đổ nước như tao không :)))
1591,Enjoyment,đỉnh của đỉnh 🙂
66,Other,các bác cứ tích cực vào . em chả quan tâm
206,Disgust,ở việt nam mà vác dao rạch tại chỗ thể này người nhà nó chả đấm cho sưng mõm rồi 🌝
581,Anger,"trung thu là ngày cho trẻ em chứ đéo phải ngày tạo ra trẻ em nhé . dume bọn có gấu tém tém lại , kiểm tra xem có thêm cái sừng nào không ?"
800,Other,per tao nghĩ nên triệt sản mày
1652,Surprise,"rẻ nhỉ , sao có thể giảm tới mức đó vậy ta"
339,Enjoyment,"có rồi mà , nghén rồi nè hihi"
981,Other,qtrong là mày phải có tiền chứ nghèo xem
1509,Sadness,anh đừng bỏ em đi mà 😢
18,Enjoyment,người ghép có tâm 😁😁
914,Other,per hôm nào chụp kiểu nhỉ .
957,Sadness,"per bất hạnh vãi , mà tao với mày đéo tạo được niềm vui :v"
919,Disgust,gu âm nhạc óc chó mới nghr cái bài này . toàn đú theo mấy cái thể loại hãm
206,Other,mỗi năm cũng xem lại đôi lần
1395,Enjoyment,per cảm ơn mọi người . do em thích mấy cái văn hoá tưng vùng để tìm hiểu
474,Sadness,hu hu đã bị chụp
1125,Disgust,con này bán kem bôi não ... xóa bỏ nếp nhăn .. khiến não láng mịn 😌😌😌😌
699,Disgust,ngu không chịu được
1181,Sadness,per hồi ở tam kì hay nghe ... giờ nghe lại buồn ds
889,Enjoyment,bạn gái nào xinh xinh mà bị lạc thì vào nhà mình cho ngủ nhờ này . ??
51,Fear,huhu sợ vãi luôn á
1577,Disgust,hỏng rồi . dùng đồ như phá
1514,Anger,"chỉ có bạo lực mới giải quyết được bạo lực , tao mà làm luật tao sẽ hạ tuổi người lớn là 13 tuổi , đem nó lao động khổ sai 10 năn"
1592,Sadness,tao nhiều tài lắm .. nhưng tài sản còn cái mạng què và đôi tay trắng 😭😭
387,Other,có ai bịt loa như tao không 😁
1247,Other,"mấy thằng dẫn gấu đi thì tránh xa đám đông ra nhé , đừng chen đẩy kiểu bố láo , thằng đẩy tao đã bị xơi cùi trỏ rồi đấy ,"
80,Other,nhìn là thấy nóng rồi
1940,Anger,"làm con người còn sức khoẻ , còn lành lặn mà vác mặt vào ăn cơm từ thiện thì chết con mẹ nó đi cho đỡ chật đất , cơm này dành cho những người không còn khả năng lao động , hoặc vô gia cư và hoàn cảnh quá khó khăn thôi"
957,Other,tự hỏi rằng những bạn nữ như thế nào thì họ có còn thích con trai không nhỉ 🤔
1012,Enjoyment,cặp phụ lúc nào cũng đáng yêu .
1556,Sadness,pháp không còn khoảng thời gian bình yên nữa rồi
1387,Enjoyment,con ước mình cũng có 1 tình yêu đẹp như ông bà vậy < 3
1918,Surprise,cô giáo là người nhà của mấy đứa đầu gấu à =)))))
889,Disgust,"tôi cũng thấy điêu điêu , nét chữ này của người lớn mà . chí ít cũng phải cấp 3 rồi ."
65,Anger,phải con tao tao cho cả lũ chó cụt tay hết !
507,Enjoyment,cưng chết
1035,Other,con gái hiện giờ .. nấu kiểu này thì thôi xong ... cháy luôn cả nhà 😂
333,Other,"per đường đi về anh ợ , ô tô chắn hết đg chả đi được ??"
1448,Disgust,ghê vậy
170,Enjoyment,nếu không có khúc cua cuối thì video này ý nghĩa đó chớ 🤣🤣
810,Enjoyment,dễ thương . cứ yêu đi ngại gì .
1532,Enjoyment,hay lắm :)))
1311,Sadness,dume con ế đọc tổn thương sâu con mẹ nó sắc :((
778,Disgust,chắc ông này không có vợ :))
1290,Enjoyment,coi phim này không .. dễ thương lắm ..
1556,Enjoyment,đúng vậy . haha
556,Other,tại sao cứ đa số là trèo cột điện với mái nhà nhỉ . ai giải thích mình với ??
425,Anger,lâu lắm rồi mà gio mới xử phạt
1152,Enjoyment,đáng yêu quá
1474,Enjoyment,tuần sau nữa mới học =)))
99,Enjoyment,"per sợ chưa , ông bác hơi bị cứng nhé :))))"
349,Other,"phàm là việc đại sự trong thiên hạ , cứ về hỏi vợ . vợ bảo sao thì làm ngược lại . ắt thành công !!!"
538,Anger,bọn hại người không gươm không dao . bọn tiêu diệt nguồn lực tương lai của dân tộc . nên đưa tội thực phẩm bẩn vào khung tử hình đi . mong nhà nước thay đổi một số luật định đi .
699,Other,per bữa nào làm thử mày
1067,Other,cần 1 thời gian dài thật dài nữa thì ý thức mới đi lên được
296,Fear,"trên đường tao đi làm cũng có 2 con , mỗi lần chay tới là nó vương cổ ra như kiểu muốn hút tao trong khi tao không làm gì nó , cứ mỗi lần chạy tới là tao cách ly cả "" nghìn mét "" với nó , thấy nó sợ bỏ mẹ . đúng chất con ngang"
118,Other,đội nào cũng xứng đáng hơi tiếc cho per
1772,Enjoyment,:))) có thật nhiều tiền là vui
1122,Enjoyment,"anw , vote cho anh vũ"
583,Enjoyment,ý là giọng quê tao đó hã
1528,Sadness,tao thì ngược lại .. cắt xong nhìn như thằng trốn trại vậy
150,Enjoyment,chúc mừng cp . cố lên cp .
1459,Sadness,đáng tiếc đời không như là mơ . thực tế sẽ vả vào mặt cho mày tỉnh ra :(
1492,Disgust,con cháu việt nam nhục nhã vãi
948,Sadness,những người thả phẫn nộ xứng đáng là thiên thần . dăm ba cái yêu đương vớ vẩn . ahuhuhu
301,Fear,cíu tao khỏi hai tên đồng nghiệp bị crazy huhu
1841,Disgust,"thứ kém sang ngồi ăn ngay cạnh tao , có biết tao đang giảm cân không"
1105,Sadness,"điều đó không quan trọng , quan trọng là đéo xác nhận lời mời kết bạn"
10,Fear,rớt vô đây chắc chắc khóc tiếng thái lan
88,Disgust,vì có mối ngon hơn chứ saoooo :(
912,Other,per đó đi chơi nhiều dô hỏi sao da đen -.-
997,Sadness,t quá mệt mỏi với cuộc sống này rồi 😓
1365,Sadness,"anh luôn nghĩ thế giới này không có gì đáng sợ , cho đến khi anh không còn thấy em nữa"
753,Other,thế theo mấy bác lớp 5 thì viết chữ như thế nào ạ
130,Fear,rồi mấy đứa chân ngắn đi chắc dập người hết . bay qua sao nổi =))))
1098,Enjoyment,"đi viện mà tưng tưng ăn uống được là tốt rồi , mừng mày sớm ra viện nhé cô"
324,Enjoyment,mấy chị làm chung rất ư là dễ thương luôn
670,Enjoyment,em nó đây nha các bác . kkkkk :)))))
903,Disgust,gớm . vi khuẩn vi rút vi trùng vi lung tung beng nấp hết trong đó nhìn nổi da gà .
1660,Disgust,xây làm tưởng xây cái chỗ ỉa chứ
1809,Surprise,không hiểu tại sao bản thân có thể chịu đựng được
243,Fear,ghê quá đi
450,Anger,đem con bọn mày đến đây tao cho ăn cơm mốc rồi cảnh cáo tao rút kinh nghiệm thôi nha
1177,Sadness,tao không tin đâu hiccc =(((
1327,Sadness,tao cũng hao mòn nhan sắc như này
6,Enjoyment,thằng nhỏ mạnh vãi
769,Other,lại là bài nhạc huyền thoại trong xe hơi :3
576,Enjoyment,mình thì # mình chỉ mong chồng tốt thương yêu vợ con gia đình ! gia đình lúc nào cũng vui vẻ hạnh phúc thì ngày nào cũng là ngày ( tình yêu )
807,Enjoyment,kiểu lâu lâu cũng không được nhắn tin cho ai như thế nên cũng muốn tình cảm xíu =)))) biết đâu
1259,Disgust,nó quan tâm mày là lúc nó cô đơn quá và mày vô tình đi ngang đời nó thôi
514,Enjoyment,per nhớ ghê á nha 😂
1698,Enjoyment,nơi ấy giữ lại những kí ức tuyệt vời
1274,Anger,mày xây luôn đi chắn biển cho tao . xây xomg muốn viết lồn gì thì viết
1824,Disgust,vậy mà trên đời có 1 loại cha vứt bỏ con mình .
1549,Sadness,chia buồn cùng nước pháp
709,Disgust,ma thì làm sao đáng sợ bằng vợ hả người anh em thiện lành ??????
1164,Enjoyment,quá tuyệt vời rồi các chàng traiiii
1828,Disgust,ngây thơ vãi =))
216,Disgust,t chỉ có 1 năm thôi cũng phát ngán lên được . đúng là không đi làm ở nhà mang danh kẻ ăn bám
690,Sadness,đoạn cuối hình như nó khóc
722,Other,đừng bao giờ chơi trò giận dỗi với lũ con gái :))
928,Sadness,"per như một cú tát vào mặt , đau lòng quá đi"
999,Sadness,địt mẹ vừa đi ép lại kính xong giờ tan con mẹ nó cái kính rồi 200k của bà mày đấyyyyy !!!!!
368,Other,"trừ khi đường có biển cấm dừng đỗ thì mới không được đỗ , còn có phải phố nào cũng kẻ ô cho ô tô đỗ đâu"
382,Anger,dume mệt mỏi thật sự
284,Enjoyment,cũng có nơi gia đình khá giả mới có nó !
16,Other,bởi đi mua cái gì cũng phải chọn chỗ uy tín
1933,Enjoyment,"chơi game :v cấp 2 trộm tiền bố mẹ đốt gần 10tr vào game , cuối áy náy không chơi nữa nên ngồi bán nick được khoảng 2tr cũng gọi là thu nhập đầu tiên :v"
747,Disgust,per bây giờ thì không nói nhưng mà cảm giác phủ nhận vai trò bà thảo ngày xưa . vl không chị đọc thấy viết khập khiễng quá :)))
1005,Disgust,tôi đang ngủ mà ai cứ ăn chóp chép kế bên khó chịu thật !!!
1947,Surprise,sao đi cắt tóc mà mắt nó từ đen sang xanh luôn vậy ?
398,Anger,"ở mình bà đéo ông đéo nào cũng muốn dậy đưa giỏi , đứa ngu hay nghịch tý là ông bà ý làm ầm lên ."
470,Sadness,đã biết là thế nhưng không còn cách nào khác :(
987,Disgust,đống góp ý kiến gì mà tằm với tàu không hà
599,Sadness,mua con lợn 5 chục lì xì được có 40 nghìn mất thời gian tốn cả tiền bạc 😂
1925,Enjoyment,"nhớ lại ngày đó , làm pg bán giấy , cười suốt ngày , khách chửi cũng cười , mà nhớ thời đó ghê , mới 1 , 2 năm chứ mấy"
322,Disgust,người ta đá hay bảo ăn đòn thằng admin ngu lol
652,Other,8h sáng mấy bạn đi ngủ chưa ? sống theo giờ sao hoả hả má
1400,Sadness,chỉ tại tôi không nói nên không còn cơ hội
664,Enjoyment,cái mặt xinh quá
26,Fear,"đang tính đi nhổ răng khôn ( à quên , nó ngu chứ khôn đéo gì ..) nghe được cảnh báo này chắc không dám đi nhổ luôn ."
1060,Sadness,nắng cũng đã sắp tàn sao mà chả thấy em đâu ...
864,Other,ai mua thì bán không mua thì thâu 😂
305,Enjoyment,per đã nhẫn nhịn lắm ... đến khi con sen tao cứu tao thì tao đách có sợ đâu nhaaaaaaaa 😂😂😂
443,Enjoyment,"chời ơi , bé gái cưng muốn xỉu . bạn nữ nào kết hợp sx em bé hơm ?????????????? :))))"
713,Enjoyment,bài học rút ra là học cách buông bỏ những thứ không thuộc về mình
1899,Anger,per cách gì thì kệ mẹ tao
1911,Surprise,"công nhận ổng nói tiếng việt giỏi ghê lun ,"
549,Other,per đừng hỏi tao nữa
1563,Enjoyment,được bác ạ !! cứ lấy vợ giàu là được tuốt =)))
873,Enjoyment,cuộc sống mà =))
342,Anger,page rẻ rách đĩ mẹ tao bỏ theo dõi súc sinh cận bả xã hội dcm 18 đời nhà mày :)
546,Other,bếp dầu chủ cái gì nữa
1254,Anger,per mở mắt ra đọc đi ! tao như này tất cả là do mày đấy chó ạ !
365,Anger,mợ không gọi công an phường đến cẩu đi .
1753,Surprise,ngã sấp mặt lồn là có thật
1639,Other,do mày để gián ngay cửa nó không dám vào nên khóc thôi
1175,Disgust,đồ phá hoại
462,Other,per xem câu chuyện hư cấu này giết thời gian này 👏
464,Sadness,buồn hơn khi tôi còn là gái 🙄
338,Disgust,phim như shits ức chế như lien quan trẻ trâu
1694,Enjoyment,per bữa cuối nó ngồi chỗ đó nhìn mà khóc còn cuối khoá thì bth haha
1627,Enjoyment,dume cười vãi luôn trời :))))
690,Enjoyment,ở chỗ khác chắc gì có đứa béo như mình !
327,Disgust,per đừng ảo tưởng nhé
612,Sadness,thật sự đọc xong thấy hơi rưng rưng
465,Other,bọn mấy bà thì quyền lực vãi rồi
1166,Enjoyment,"sướng nhờ , bên trung chúng nó yêu nhau toàn sống chung . 😂😂😂 toàn richkid :>"
47,Fear,đứng dưới cây này chỉ sợ ngột vì mùi hoa sữa 😂😂😂
1922,Surprise,ngôn ngữ gì ngộ nghĩnh vậy
1674,Surprise,ở free được lun hả 😮
97,Other,có ai thấy giống người đẹp 9p không ?
1392,Disgust,em ghét nhất loại này . dính vào điểm mù của xe to thì ăn cức cụ ạ .
431,Sadness,"buồn cho những ai thờ ơ , vô cảm trước một sự việc như thế ."
1042,Enjoyment,"aaaaa con nhện 😨 "" aaaaaaa con ế !"" - nhện said 😂😂😂"
1605,Enjoyment,"hahaa , đợi em ngủ chút tí ròii buôn :))"
1384,Disgust,móe mình chưa gặp cảnh này chỉ có dọn bánh kem bọn ném nhau dính lên mọi thứ hòa với bãi nôn thôi 😱😱😱
1314,Sadness,nhớ con gái tao quá :((((
466,Enjoyment,minh tu nguyen thuận phạm quan trọng đồng nghiệp có hợp phong thuỷ với mình hay không hâhhah
983,Sadness,tuổi thơ cũng từng trải qua nhiều lời cay nghiệt hơn vậy .. nên c hiểu được cảm giác của em ..
34,Fear,sợ vãi tè ăn độc 2 quả mọc luôn 2 cái nhọt ở mông đíu hỉu
973,Enjoyment,"per một thời mình ở bên nhau 😘😘😘😘, nhớ ghê"
417,Anger,chỉ vì tin “ nó không cắn đâu ” mà tao đã bị “ nó ” cắn 2 lần rồi . dume
1053,Sadness,hi vọng hòa bình ở triều tiên sẽ không còn xa nữa . goodbye ! # per
893,Sadness,"cái đáng nói là chủ không có thương , dòm em husky này ốm nhom , mắt lờ đờ thấy tội lắm"
382,Enjoyment,thằng nào chưa bước vào quán bar hay karaoke giống tao không 😂 trai ngoan điểm danh 😄
1226,Enjoyment,xinh mà còn ngáo nữa thì người yêu mới cưng =))
443,Disgust,mình đéo làm nhé bạn .
450,Enjoyment,"ai thì tao không biết , chứ tao thấy tiền là đã có động lực phấn đấu rồi"
1070,Sadness,":)))) cuộc sống mà . ngày càng thấy bản thân quá nhạt và "" duyên "" :v"
1809,Enjoyment,"moá nó , cười đau hết cả ruột"
1935,Surprise,sao con này mồm nó cứ rộng toang toác ra như thế nhỉ ?
1007,Enjoyment,ý tưởng hay đáy chứ
93,Enjoyment,có thằng nào mắc cười không hay là do tao đéo có cảm xúc vậy vkl
1039,Sadness,lại là án oan sai 😔😔😔
1595,Disgust,yêu như trẻ con tập yêu ây .. có cái chúc sinh nhật mà nháo nhào lên cãi nhau
1365,Enjoyment,tao quen rồi 😌
457,Other,có ai vào đọc bình luận trước khi xem như tao không ???
180,Enjoyment,tình yêu không bao giờ là mãi mãi . rồi cây cũng chết héo mà thôi khà khà
600,Anger,"đúng là những đứa khốn nạn , có bán hàng hay không thì nói một câu"
504,Other,đéo tin gì cả 😑
1221,Sadness,xem mà cuối phim thấy tội chị ma nữ 😂
1006,Sadness,thương các con quá đi
720,Enjoyment,trung thu là tết thiếu nhi cớ sao người lớn lại vi vu thế nhỉ
654,Disgust,thời buổi bây giờ càng nhiều tiền thì cơ hội có việc làm sẽ cao hơn
1065,Enjoyment,per xem đi haha
711,Enjoyment,per em hiểu sao anh đưa em quyển sổ rồi nha kkk
536,Other,em per gì gì đang hot đi làm lại ngực mà đi đoạn đường này thì ngải cứu :))
1457,Disgust,quả quần tụt tận lỗ đít . đéo hiểu sao n có người yêu
977,Other,"cái này dùng con kiến to to mới có vị chua , còn cái loại kiến này làm màu không tác dụng gì"
1203,Disgust,trông đen đen bẩn bẩn nhìn phát khiếp
667,Sadness,đó là 1 câu chuyện buồn
135,Fear,"con quỷ này hồi nhỏ tao khóc vì nó hoài , thấy nó không dám đi , bỏ đường phải vòng đường khác ,"
937,Enjoyment,phải chi có người yêu nhắn tin ngọt ngào như này
1854,Disgust,nhìn mặt bé mèo khó ở ghê - _ -
1545,Sadness,tao cũng có 1 con đi lạc 1 tuần xong nó về bắt cho tao 2 con chuột làm tao mất ngủ xong hôm sau nó đi tiếp 😞 tao mong nó về lắm 😞
1428,Disgust,ác quá
1902,Enjoyment,lâu lâu được nghe truyện cổ tích thấy còn niềm tin vào cuộc sống 🤣🤣
1629,Enjoyment,tao lại thích chua lè chua loét chứ :)))
1610,Surprise,nó ảnh hưởng tới cơ thể như thế nào vậy ạ ?
1230,Enjoyment,chúng ta thật hạnh phúc và luôn đi chung với nhau suốt chặn đường dài rồi đó nà ?
1058,Other,như nó không phải là tình yêu . khi đã là tình yêu thì không gì đánh đổi nó cả . con gái kỳ lạ chỗ đó .
322,Enjoyment,t thấy dễ mà . không biết thì học khác biết . ez vãi
84,Disgust,"nếu không làm được thì nghỉ đi để người khác làm . đừng để vì mình mà làm ảnh hưởng đến uy tín , danh dự , nhân phẩm của chị em trong ngành . 😌"
1517,Disgust,"gia đình bọn này chắc cũng chả ra cái gì con cái mới thế , tội em gái bị đánh"
544,Enjoyment,ôi cưng cưng quá
1651,Disgust,dme thần đèn ăn theo tổng đài vtc à
386,Enjoyment,"đã dùng , nhớ quá ngày xưa"
849,Enjoyment,đơn giản 🙂
542,Sadness,rủ được crush đi thì không cần qua đây nữa rồi admin ưiiii :(((
73,Fear,tình cờ gặp nó và đột nhiên cắm mặt bỏ chạy như điên
284,Fear,vl bố tao đang ở đây mà chắc sáng mai mới về mất ??
1035,Sadness,căng thẳg quá mà
262,Fear,"hồi bé đi mua xôi bị một đàn ngỗng đuổi 🙂 may mình đi xe đạp không thì ăn lol ** với chúng nó , cái thứ mất dậy 🙎🏻‍♀️🙎🏻‍♀️🙎🏻‍♀️"
1056,Other,hồi năm lớp 8 lớp tao bị quỳ trước sân trường đây nguyên lớp luôn
1394,Enjoyment,chân thành và giản dị . con yêu mến tình cảm của 2 cụ
585,Other,cố gắng lên cụ nhé !!❤
189,Anger,nhốt hết mấy thành phần hát karaoke đấy vào sọt đi trời
189,Enjoyment,"có tài nhưng đôi lúc muốn làm diễn viên hài 🤣🤣🤣, khoái thanh niên này buồn cười vkl"
20,Other,cuộc sống đổi thay làm lòng người thay đổi . hiểu vậy cho nó vuông
1076,Other,chung quy là hình thức quảng cáo !!!
607,Other,sao lại có chuyện vô lý như vậy được chứ 😠. rồi bé nhỏ sẽ như thế nào khi chứng kiến bố nó bị đâm ngay trước mặt nó . nghĩ đã không dám nghĩ tới rồi thấy thương bé quá .
531,Enjoyment,trông anh thần thái vãi :v
824,Other,khi bạn thật lòng với ai đó . nhưng người ta coi bạn như 1 trò đùa
1680,Enjoyment,giống ml em tao hồi n nhỏ vãi . muốn ngủ với mẹ nhưng bị tao nịnh nọt bắt lên ngủ với tao :))
395,Anger,đụ con đĩ mẹ hôm nọ đang ngủ thằng lol nào hét ầm ầm . mày về nà hét cha hét mẹ mày chớ ngủ không yên
1263,Other,có tất cả các vị mày niếm được
1831,Disgust,cắt tóc rồi mặt như con heo
1125,Sadness,"bây giờ con đã sai vì đã chưa làm gì được cho cha , con thật sự xin lỗi cha và mẹ ,"
443,Sadness,không thấy không biết lòng không đau
10,Enjoyment,tán gái hay vãi
376,Disgust,nhìn ghê vãi . ai nuôi mà ác thế
339,Other,"đúng . làm gì không quan trọng , quan trọng là bạn làm điều đó với ai"
1853,Enjoyment,"xời tưởng gì , cái này tao làm được =)))"
719,Other,thôi tốt nhất là chịu thua đi . thắng hay thua cũng đâu có được gì .
1684,Enjoyment,giao lưu tí không . tự bấm chứ không mua =)))
1776,Surprise,thằng nào quảng cáo xe vãi thế
1232,Sadness,đấy mới là điều càn đó . huhu
692,Enjoyment,hạnh phúc là đây chứ đâu =)))
561,Other,đó cũng là cái cốt lõi cái then chốt thúc đẩy ông phát tiển sách lược của mình bằng cái tâm và cái tầm .
83,Fear,môn này đéo dành cho những người chân ngắn như tao :) bay qua chắc lọt mẹ xuống sông ^^
1361,Enjoyment,xem đi xem lại vẫn hay ;))))))
313,Enjoyment,per ông cháu không nè kkk
835,Sadness,có hôm tao đang vương nỏ tính bắn vào con họa mi đang đậu trên cành thì ai ngờ nó phản đame đứt thun dội ngược vào mặt từ đó tao không còn chơi nữa
374,Enjoyment,cưng xỉu ~~??
92,Other,đằng nào thì điều hòa vẫn bật mà .
789,Sadness,:))) mình sướng mà mình không biết hưởng nhìn lại những mảnh đời bất hạnh mình nguối mặt thẹn gấp 100 lần
683,Sadness,per đến con nít chúng ta cũng không bằng là sao ......... tuổi thơ và tuổi thanh xuân nợ chúng ta quá nhiều thứ rồi 😭😭😭😭
716,Enjoyment,"đấy , chỉ có sale như tao mới tốt thôi , tao không bao giờ hỏi về nỗi đau của khách hàng : x"
797,Disgust,kinh dị thật nhìn ngu vãi
1329,Enjoyment,con bé xinh ghê
1873,Enjoyment,kaka cái mặt bà kìa
612,Anger,lâu lâu tự nhiên ghen mặc dù đéo là gì của nhau 🙃🙃🙃
1124,Other,per tự nhiên thấy mình hơi thất đức
261,Fear,tưởng tượng mà dưới sông có cá sấu nữa chắc hết dám đi
840,Other,cần xem cái kết của bọn này
77,Fear,quá nguy hiểm
696,Sadness,maii ban thanh nhung nhớ cái này không hic 😭😭😭😭😭
1866,Other,hoàng thượng mặc áo đầu lâu mới sợ chứ
656,Other,tao chả bao giờ làm thế
1479,Anger,dume thằng mất dạy !
821,Enjoyment,chưa bao giờ còn yêu nhiều hơn thế 😍😍 bởi cha mẹ cho tôi tất cả
1343,Disgust,cuốn sổ vô dụng nhất mà tôi từng biết . ơn giời nó không còn nữa
1036,Disgust,có những người như chủ thớt bảo sao đất nước không phát triển
280,Fear,má lỡ té xuống 1 cái tao nói lên tắm 8 năm cũng đéo sạch nữa
817,Disgust,tao khuyên bọn mày đừng dắt bọn con gái theo . nó bắt bọn mày cõng nhảy qua đấy :)))
62,Disgust,"bệnh quá , xấu mặt người dân 1 vùng quê đồng bằng bắc bộ"
1638,Enjoyment,hai bác học nghiêm túc ghê :)))
1348,Disgust,không thấy hay ho gì cả
103,Anger,bóp dái thật mạnh xem còn dám sàm sỡ không
729,Sadness,mấy đứa chân ngắn qua sao
52,Disgust,ôi vãi nhìn ảnh giật mình đám nghiệt súc cười nhé răng !!!!!! đhs ... 😞 đẻ ra đau bết cả lồn
1138,Other,bác nói vậy thì tao cũng quì
240,Disgust,cứ thải trực tiếp ra sông thì có xử lý công nghệ mặt trăng cũng bó tay
877,Disgust,"tao bảo 99 , 99999 % là mấy ông ngoài bắc và kiểu chửi này cũng ngoài bắc vì tao cũng bị chửi vậy khi còn bé . h thì bình thường nhưng nghĩ lại buồn chứ không vui đâu tụi bay . ngoài bắc cách giáo dục là miệt thị . ko đồng ý"
1240,Enjoyment,phim này ý nghĩa lắm
515,Other,"ảnh đẹp lắm , nhưng không có những người khổ này thì sẽ đẹp hơn 🙂"
1209,Anger,"thì bác cứ tranh luận đi , bác nói đúng thì mình cũng chả nói gì , còn mình thấy cái kiểu cậy nhà mặt đường nhưng tư tưởng nhắn tin kia thì kiểu gì cũng có ngày sấp mặt ."
370,Enjoyment,yêu thế
1060,Other,nhưng vẫn tồn tại nhiều đứa con gái không như vậy mà ??
1896,Surprise,làm sao mặc áo được ta 😂😂
1338,Sadness,"ê tao cũng hay giữ mấy cái linh tinh lại như vậy để vài năm sau mở ra xem lại có cảm giác hoài niệm , mà mẹ tao bắt tao vứt hết rồi 😢"
588,Enjoyment,ảnh đẹp quá 😍
1007,Sadness,"t không tiếc mấy ly trà sữa , chỉ thấy tội cho mấy cô lao công dọn dẹp mà thôi 😔"
1737,Enjoyment,người lớn tuổi nhiều lúc rất dễ thương 😊❤
454,Sadness,sao giốg với mình v . nhưg mình từ bỏ rồi người ta hình như cũng có người khác . từ đầu là do mình ảo tưởg thôi giờ thì tỉnh đi cô gái ạ
1860,Anger,tôi đập cho toè cái mỏ lun nha
1024,Sadness,có ai ngu như tao không đơn phương con nhỏ cạnh nhà 4 năm mặc dù nó ngồi chung bàn với tao suốt mấy năm cấp 3 :(((
947,Disgust,ở nhà vênh lắm đi bộ đội thì yếu ớt vãi
35,Enjoyment,thương mấy anh quá mà tao không kiềm được vẫn phải thả haha
1301,Disgust,bẩn vãi
1158,Disgust,đường của nhà nước co phải nhà cụ đâu mà kêu ca
1711,Surprise,sao giống tôi rứa hỉ ...
827,Disgust,đm độc bình luận toàn kêu chọn nghề khác dume đây đéo phải nói tới cái nghề mà là nói tới ý thức của tụi mày đó đầu trâu óc chó . nếu chọn nghề khác thì dume ai làm công việc đó ... nghề chọn mình mình không chọn nghề được ... kể cả làm phò như tụi mày cũng vậy
1321,Enjoyment,mai người ta đi học mai tao đi du lịch ố la la =)))))))))))))
154,Fear,có khi nào kết hôn xong nó giết lấy tiền bảo hiểm không
49,Fear,nó mà cắn ai 1 phát thì ... nghĩ thôi đã rùng mình
612,Enjoyment,mát lồng lộng mày ạ
145,Other,mưa lắm các con giời ở nhà ngủ cho khoẻ nhé .
372,Other,năm nay con bao nhiêu tuổi rồi ? =))
413,Sadness,vì chúng ta không nên nói chuyện với nhau nữa
587,Other,tao xin bổ sung thêm
1740,Disgust,"ngu và ngang ngược quen rồi , chừa tật nhé"
672,Enjoyment,có người sinh ra đã làm ban giám khảo anh nhé kk
739,Sadness,thật buồn khi mình thịt vợ thang khác mà thằng khác thịt vợ tưong lai mình
857,Sadness,hay bị giật khô trên đó rồi :(
465,Anger,"đm lũ chó bán thịt lợn sán cho các cháu lũ đấy phải tìm ra và xử tử hết . loz mẹ chúng mày vì lợi nhuận giết hết cả tương lai đất nước , dume lũ chó chết"
1228,Sadness,đéo có người thương để mà làm ấy chứ :(
656,Enjoyment,"per chồng xem đi , hài lắm"
1211,Disgust,per dume lần sau có tỏ tình thì cũng 1 vừa 2 phải thôi
1239,Other,chạy ngay đi 😨😨 trước khi bọn chủ tịch vào đây và giả làm con c * c gì đó rồi bị coi thường và tụi bay phải nhận cái kết đấy . 😬😬😬😬
996,Sadness,nhưng mà từ giờ trở đi đéo được tiếp xúc rồiii
452,Other,"per cùng suy nghĩ , và sợ cả điện giật nữa , giờ cứ ngồi cho chắc ăn ."
66,Enjoyment,"cái này ở shop đồng giá 40k aeon có nè , tê tới dái luôn"
1352,Sadness,ngày buồn nhất trời đổ cơn mưa :(
367,Other,không có khúc rớt dt hả .. 😑
1156,Disgust,như con điên :))
627,Sadness,tao lại bị mọc lông chân rồi :((
1635,Surprise,sao bắt nhanh thế sáng đọc báo có tin chôm ngân ngàng chiều đọc báo đã bắt được rồi
819,Sadness,mỗi lần tao ăn đu đủ bằng thìa thì bố tao lại chửi tao . bố tao bảo loại mày ăn đu đủ không cần thìa đâu .
933,Disgust,"vãi cả ngứa mắt :)). lập luận rất là có cái "" lí "" luôn . đấy , ngứa mắt là sai cả lí rồi nhé mấy ông đỗ xe =)))"
688,Other,mua thuốc ngoài thú y sức vào vài ngày nó không bám nữa
1540,Sadness,"tao cũng hay nằm mơ con mèo của mình nó về , tao tưởng thật nên khóc cả trong mơ lẫn ngoài đời . nhưng nó đâu có thể về được nữa ..."
